Song_Name,Artist_Name,,Tempo,Energy,Danceability,Acousticness,Release_Year,Song_Type
Someone Like You                                 ,Adele,,135,32,56,89,2011,Sad
Hurt                                             ,Johnny Cash,,90,39,53,65,2006,Sad
Fix You                                          ,Coldplay,,138,42,21,16,2005,Sad
Let Her Go                                       ,Passenger,,75,55,48,37,2012,Sad
Yesterday                                        ,The Beatles,,97,18,33,88,1965,Sad
The Night We Met                                 ,Lord Huron,,87,37,55,97,2015,Sad
Everybody Hurts                                  ,R.E.M.,,94,32,47,62,1993,Sad
I  wanna be yours,Arctic Monkeys,,68,42,46,14,2014,Sad
Tears in Heaven                                  ,Eric Clapton,,154,24,50,84,1992,Sad
I Will Always Love You                           ,Whitney Houston,,68,21,33,85,1992,Sad
Amar Hiyar Majhe                                 ,Lata Mangeshkar,,150,34,29,98,2006,Sad
Tumi Robe Nirobe                                 ,Hemanta Mukherjee,,127,9,44,99,1971,Sad
Bhalobeshe Sakhi                                 ,Debabrata Biswas,,148,42,68,85,2012,Sad
Tomake Chai                                      ,Kabir Suman,,80,62,49,83,2016,Sad
Chokher Jole                                     ,Shyamal M.,,150,75,61,78,2009,Sad
Bhalobasar Morshum,Shreya Ghoshal,,149,32,30,82,2022,Sad
Ei Obelay                                        ,Nachiketa Chakraborty,,148,51,50,60,2023,Sad
Bohemian Rhapsody                                ,Queen,,144,39,40,27,2006,Energetic
Hotel California                                 ,Eagles,,147,51,58,1,1976,Energetic
Stairway to Heaven                               ,Led Zeppelin,,82,34,34,58,1971,Energetic
Smoke on the Water                              ,Deep Purple,,114,59,63,10,1972,Energetic
Sweet Child O’ Mine                              ,Guns N’ Roses,,125,95,45,9,1987,Energetic
Wonderwall                                       ,Oasis,,175,85,41,0,1995,Energetic
Livin’ on a Prayer                               ,Bon Jovi,,123,89,53,8,1986,Energetic
Back in Black                                    ,AC/DC,,188,70,31,1,1980,Energetic
Nothing Else Matters                             ,Metallica,,142,39,55,5,1991,Energetic
Comfortably Numb                                 ,Pink Floyd,,127,37,47,15,1979,Energetic
Prithibi ta naki                                 ,Mohiner Ghoraguli,,153,38,38,39,2012,Energetic
Ekla Ghor                                        ,Fossils,,138,53,66,24,2001,Energetic
